No Decimal Found,
59.68396,15.49997
60.12823,17.67633
60.40667,18.39274
60.91109,16.37443
60.92681,12.99167
60.15356,17.68768
67.10087,20.42623
60.3767,16.10595
56.78323,14.06969
63.21382,14.9593
63.25906,12.44288
65.7803,22.51046
63.96429,15.8553
65.48947,21.91646
59.7657,16.29362
59.9572,17.31179
61.8761,16.81003
64.5423,20.0918
57.50175,13.57099
59.19122,18.2887
59.59313,15.52252
58.73178,16.02931
58.85361,11.46127
56.7059,13.09701
60.15356,17.68768
56.78991,14.07771
61.83516,16.70654
61.48718,17.14857
62.58674,17.7858
56.88563,16.2129
60.37658,18.20383
59.68396,15.49997
57.14427,15.26142
63.96681,17.10675
60.91109,16.37443
60.27264,16.88198
57.43804,12.84796
65.99457,21.65229
60.49293,15.16132
62.7509,12.75592
57.59297,15.12965
57.70566,13.68069
63.63253,13.81065
56.72107,15.07059
59.5826,13.39489
63.67405,19.03412
59.814,18.01373
56.88135,16.20414
59.18568,18.28848
65.81903,23.78901
58.90058,11.42071
59.32734,14.81545
56.2861,13.09279
59.68183,15.70842
63.01102,15.92958
59.05044,14.51876
64.64626,16.53844
64.39379,19.72626
59.94942,16.04474
63.85268,16.0165
57.18431,15.21751
64.06011,18.31818
56.72532,13.21906
62.66969,17.94257
60.38123,18.19511
60.38699,18.12296
60.15476,17.70485
63.55518,19.39997
62.87176,17.41333
60.41357,15.47515
64.00215,19.37415
57.74225,13.31928
63.82494,16.70134
56.55471,14.67376
59.6007,13.34371
59.35115,14.85768
57.80866,14.04145
57.76485,14.55432
59.85569,14.43811
64.45459,18.66429
57.31017,14.00425
57.72215,12.04985
58.29395,13.88814
57.53404,14.21741
60.63052,15.68563
60.94297,12.47149
63.97595,20.09521
64.49908,17.81686
56.83561,14.09468
60.22886,17.46037
59.17652,18.29983
63.84105,20.72023
60.46767,15.98728
65.8337,21.86521
60.15356,17.68768
60.51568,17.46403
59.68533,14.58151
59.8546,16.22315
63.19514,18.77425
59.34254,14.83508
65.67902,18.54151
65.1377,21.59338
59.68077,14.98752
62.52013,13.78576
58.7121,12.12718
63.99659,20.47719
61.6831,17.42241
66.62319,19.69149
61.4315,16.12956
56.83561,14.09468
60.21497,12.72056
59.89595,16.11509
57.44075,12.84841
58.36676,12.51726
62.36018,16.17991
66.88845,18.07955
60.21447,18.00996
57.53404,14.21741
58.6972,16.53838
60.96056,16.27222
65.90327,23.96296
56.99356,12.98737
63.4237,13.21657
59.02336,11.75577
56.72519,13.2536
56.83561,14.09468
56.909,16.1483
64.29458,18.63698
59.34642,14.78242
63.1552,15.0169
60.4006,18.11485
60.80595,17.20831
66.13951,20.39741
60.13912,17.43663
63.26918,14.52484
64.47087,21.31765
66.07396,22.39661
65.60927,18.11079
59.91084,15.88069
60.00865,15.86455
64.79554,18.10198
63.67063,20.39229
59.75641,15.61069
63.48321,19.8898
65.40516,21.65742
60.91389,12.40888
59.86414,18.21049
58.04756,12.967
57.45343,16.59499
56.72274,14.42884
59.6726,15.44553
62.66395,14.75387
60.12823,17.67633
66.29,22.38256
59.94141,17.31062
64.74751,16.71524
65.33601,17.42017
62.30846,15.50559
57.84965,12.93276
59.10198,12.62931
64.98032,16.69819
61.01474,12.50785
65.6416,18.10301
60.61472,15.48972
63.73686,19.87373
57.25466,13.8917
59.29688,14.86888
63.22012,14.70486
59.39961,15.46752
65.42337,21.97777
63.2655,16.87848
65.20092,19.09344
63.89674,17.83368
60.09818,13.21818
57.49895,13.82104
58.87973,11.67405
58.62866,11.61914
57.78015,16.27027
61.27539,13.81748
60.24274,17.20362
60.76926,16.92538
58.7119,14.6042
57.25265,15.23812
60.32821,16.37719
57.03019,14.68701
57.22395,14.76723
60.8166,12.87715
58.29395,13.88814
61.00155,16.81998
59.90625,15.87125
59.83517,14.49988
60.29377,17.81924
60.91109,16.37443
59.35116,14.85781
62.30336,13.61803
58.00417,12.04307
62.54146,12.52441
58.90749,14.09066
59.68844,15.48361
59.94141,17.31062
64.65623,16.6454
65.68848,18.42617
65.26729,19.36462
61.49353,14.84621
57.80866,14.04145
59.98446,17.06162
59.98077,16.04435
56.71755,14.43368
62.03276,14.4921
56.94422,15.11991
57.53404,14.21741
63.76274,18.22117
59.59752,14.85093
59.01826,14.51432
64.07842,20.35648
57.30181,14.01013
60.70056,13.26838
57.06764,15.25457
64.01017,19.35421
66.06863,22.70628
58.19342,12.45933
65.67023,24.12128
63.76151,19.88663
63.79011,20.44818
57.6735,15.06279
63.79232,20.4608
61.89674,14.27854
65.481,21.93028
57.76319,12.84108
62.80511,13.06459
58.03851,12.07976
58.29395,13.88814
65.52358,17.51774
65.45315,21.89866
65.31607,20.82765
63.7454,19.76463
57.70566,13.68069
63.74796,12.96487
60.41342,18.15208
59.7731,14.70584
56.37929,13.0609
66.96038,20.63815
64.16433,16.27125
62.61266,16.92284
67.09868,19.77434
59.32734,14.81545
60.40124,16.37549
64.45651,21.60654
60.58817,17.55522
58.61358,15.62053
59.68844,15.48361
56.76986,15.06275
66.48474,20.26892
56.72274,14.42884
59.2604,13.5084
60.17778,17.87706
57.48875,13.93942
65.26729,19.36462
56.94781,14.31677
63.19769,19.01998
63.25427,12.41222
60.15356,17.68768
60.94875,12.47496
59.31728,14.76941
56.39531,13.40866
60.60095,17.93645
61.12442,13.42663
63.21332,18.74576
62.20164,15.38335
63.00174,17.30227
58.35316,12.03025
65.27734,19.68443
65.41966,19.52583
57.9134,12.71307
57.31017,14.00425
57.88407,12.78205
60.12823,17.67633
66.74933,19.864
57.64664,14.22963
65.34962,21.05727
59.76746,16.3131
65.95836,21.25889
56.68492,15.00732
62.20156,17.54157
57.66144,14.47603
57.87554,12.2313
60.53071,16.91874
66.26015,23.03023
57.37843,18.52781
59.5847,14.84173
65.59983,18.14727
63.16302,16.22278
56.64848,14.8367
65.27338,19.2643
58.48462,14.52635
62.40272,17.46906
59.97466,16.0279
62.958,16.01204
62.49086,17.18669
62.16521,16.21549
66.77814,19.23183
59.8456,16.18138
64.04003,16.88575
57.29983,13.10586
56.37419,13.51588
63.24463,14.53279
64.07842,20.35648
56.68423,13.15816
59.62794,15.65961
58.35874,12.51435
60.13716,17.70473
58.48462,14.52635
59.82527,18.06393
63.87671,20.15308
63.80962,20.86196
58.30357,13.89737
65.46179,21.45217
57.30089,13.48284
63.91639,20.14265
62.26411,14.09635
58.67834,16.76526
66.27581,21.12015
58.67834,16.76526
65.74724,21.55148
63.62917,15.25431
62.26107,12.93958
60.70008,13.3591
58.81068,12.37132
59.85315,16.81633
58.38826,12.44218
59.7033,15.67088
57.06704,15.25958
57.95905,13.52856
60.9575,13.91751
66.27581,21.12015
57.78102,16.2691
58.92757,14.59672
60.29833,13.26566
57.80866,14.04145
60.62051,15.25574
59.15761,17.89663
65.55015,21.48656
58.23194,12.00635
65.16554,16.88422
63.89532,17.06688
63.82962,19.92051
57.53404,14.21741
62.81525,16.90345
59.39128,15.45089
57.30706,14.00531
60.51319,17.80609
59.64171,13.94336
57.27822,13.77083
56.94853,15.26494
59.92406,17.3365
58.13948,14.92823
59.67461,16.08504
60.74853,15.09116
59.76076,15.08315
58.60436,15.58083
61.68947,14.39939
61.70926,12.61475
57.71747,12.70017
59.92406,17.3365
58.2988,13.66478
57.80866,14.04145
64.74865,21.29701
56.72532,13.21906
59.85829,14.51509
58.63117,11.63203
57.65184,14.81023
60.37123,16.29831
60.84163,16.84815
61.13402,16.8621
58.08253,16.74405
60.1917,17.72087
59.42082,12.63383
60.70764,15.92064
59.74692,16.26872
60.14084,17.68605
59.10681,12.29565
63.79011,20.44818
63.76803,20.52154
60.77739,17.27626
57.80866,14.04145
65.48947,21.91646
61.74044,17.37234
59.94141,17.31062
56.75309,13.31122
64.51136,21.25852
60.15006,15.95203
58.76969,14.60117
59.91386,16.14816
58.68363,16.03551
61.21456,12.89099
58.83751,15.31942
62.89432,17.46456
59.34919,14.86002
56.89795,15.10327
56.72532,13.21906
58.23194,12.00635
63.22345,13.06553
64.79611,16.51337
61.63651,12.71703
58.95772,15.74209
57.61844,13.87089
61.11668,16.98612
59.83045,18.09034
62.15687,17.49953
66.00712,22.14094
57.96963,16.3099
59.86782,15.9414
66.67411,23.8361
60.61249,14.77305
59.6007,13.34371
59.71468,15.45259
59.91717,15.87524
63.80724,21.00037
62.62287,17.65458
57.09275,15.12788
63.62203,19.93888
56.78323,14.06969
59.69041,15.7085
60.29243,15.19719
60.058,13.31092
58.3788,12.4468
63.91057,20.78904
65.46873,16.0746
62.39288,17.73232
64.6919,16.71771
57.35727,12.83578
56.59272,15.74078
56.78323,14.06969
64.2547,20.24225
58.29395,13.88814
64.32572,18.11714
59.68085,15.51325
64.35939,15.34676
58.93111,15.59571
66.35109,22.14438
57.64664,14.22963
59.59742,15.57672
65.95384,21.55579
59.95758,17.29363
62.02561,16.40497
65.72833,21.53071
57.53553,13.43585
59.20223,16.39175
61.32153,14.73094
60.15356,17.68768
66.08514,21.80548
63.78367,20.2367
65.60927,18.11079
57.30181,14.01013
63.4309,15.10154
57.30819,13.96333
57.96208,15.67296
64.43773,21.60803
66.36092,20.23602
66.57507,20.52736
57.53404,14.21741
67.14521,22.94327
65.42214,20.38806
59.96624,16.04515
59.95372,17.30169
57.70429,13.71245
58.79043,15.19285
57.78868,16.3105
62.68109,12.77914
56.31427,13.50786
60.55506,15.36554
59.85315,16.81633
64.82518,17.72371
58.82941,16.12459
59.94141,17.31062
58.29643,13.89417
56.61142,13.40986
61.61776,17.20222
62.41474,17.71347
65.94272,22.11323
65.48296,21.95076
60.56831,14.30613
61.8271,12.43188
57.06169,15.26873
59.98557,16.06975
58.91197,14.7092
65.50679,21.34649
60.99242,12.48675
57.57865,13.14675
58.88356,11.70953
63.61476,15.38768
62.06969,13.15585
59.80553,14.93211
56.88563,16.2129
60.8269,13.0266
59.78434,16.07988
63.97642,17.58264
58.03693,12.09684
61.81868,14.12489
57.50367,13.58481
60.26245,15.60641
60.33497,17.23024
61.39621,17.03837
57.53404,14.21741
62.59344,13.3566
63.92896,20.40846
60.94371,13.96058
56.63123,14.85678
64.98784,18.51291
57.63258,13.16125
57.53404,14.21741
64.01017,19.35421
64.51471,18.60391
63.49746,15.25641
58.1907,14.13266
60.65471,15.12599
59.06238,14.42985
63.90971,18.62622
57.53404,14.21741
59.41537,14.91396
60.45704,15.27206
62.51379,17.83172
57.24903,14.87411
62.65789,12.97067
62.83067,12.86311
58.71238,16.20952
59.73287,16.35648
57.4015,18.75536
61.83516,16.70654
57.76701,12.85205
67.42207,22.51784
66.61667,23.29311
61.72522,17.02722
58.16668,12.41414
56.2861,13.09279
57.02382,13.50955
65.32353,15.9315
64.08443,17.12104
60.72856,15.34378
56.35713,13.11027
65.82547,21.79344
60.1539,17.70841
59.91084,15.88069
59.88064,16.18442
62.68656,12.6627
58.11823,15.65109
58.04756,12.967
57.21563,15.11143
64.13947,19.39549
61.08424,16.90678
60.26389,12.85211
59.95604,15.85961
64.40923,20.3195
58.49514,12.03817
64.74434,16.55781
56.84371,15.58238
63.85041,19.98471
57.72579,13.30885
62.84328,16.84495
58.28122,12.5776
60.13716,17.70473
59.17652,18.29983
64.13963,20.5751
63.79011,20.44818
58.29395,13.88814
63.28151,13.59515
56.38761,13.7155
58.29643,13.89417
63.35631,14.02849
59.76336,16.04787
60.60095,17.93645
65.62146,15.48828
60.3689,18.13074
57.76639,15.0721
63.73686,19.87373
57.93339,13.78491
56.78323,14.06969
64.07076,19.63497
59.4461,13.62635
59.94443,15.59616
64.80944,20.6512
58.05303,12.38695
60.15356,17.68768
57.19805,16.21383
57.1215,15.33392
56.82442,15.03414
60.12823,17.67633
57.53404,14.21741
66.80813,20.81711
60.13716,17.70473
62.19575,15.97746
66.33147,22.26608
64.11173,16.02246
57.82005,14.64581
61.77353,15.42035
57.86759,12.21287
65.26729,19.36462
59.41882,14.80152
65.61623,21.68231
63.46754,16.47839
60.02841,17.14217
63.42005,13.18812
65.89477,22.94561
57.22758,12.62823
57.11721,14.43882
57.74043,13.72901
65.59095,18.15298
56.63383,14.45465
59.36972,16.97272
58.67834,16.76526
57.67252,14.77773
59.75224,16.30551
56.41183,13.48056
63.87671,20.15308
62.56856,12.59341
65.51368,21.32208
63.21073,17.28716
61.20799,14.54063
64.6884,18.40706
56.65622,15.00871
66.05196,22.53969
60.96207,12.47137
58.42056,11.22914
63.80626,21.00227
58.23194,12.00635
65.99457,21.65229
58.04756,12.967
57.70295,13.69337
64.1633,15.67632
60.51295,15.09817
60.13858,17.66828
65.25805,19.40553
59.97466,16.0279
57.13516,14.38396
58.29643,13.89417
58.05654,15.15698
64.01657,20.55465
64.47562,21.57612
56.36481,13.34234
57.53404,14.21741
56.83815,15.86421
57.88747,16.34371
60.03995,12.52163
56.63834,13.27971
58.74268,14.62163
57.74266,12.79147
60.51319,17.80609
64.39512,18.5627
63.95403,18.03149
66.57507,20.52736
61.8113,17.38616
63.50235,19.42608
58.11074,16.06978
64.72252,16.6956
56.45012,15.20916
58.0924,15.62754
65.48006,21.48041
59.89475,16.11935
59.64857,15.61437
61.44365,14.86956
62.75765,12.86648
57.44429,13.45972
57.48993,13.53006
59.71099,15.5589
57.53404,14.21741
60.94371,13.96058
60.13716,17.70473
64.26486,20.18131
56.77822,13.42584
63.67071,14.61441
59.83918,18.04723
60.20155,14.9491
66.46582,20.93027
64.8782,16.59502
57.32575,14.07476
58.31707,13.51065
57.80866,14.04145
60.59769,15.07255
65.75286,22.10676
56.69251,13.44111
65.57762,18.23914
57.03386,14.11313
63.78354,20.35264
58.23194,12.00635
58.38756,12.1313
58.29395,13.88814
60.46898,14.35436
61.39134,14.32538
57.22923,16.2806
56.83561,14.09468
61.08736,14.41902
65.10212,17.07589
61.55419,15.07109
57.06436,12.84424
57.86523,13.78321
62.54727,17.73234
57.94101,16.49772
60.89342,16.42682
58.9329,14.077
57.16798,15.2414
59.90267,15.83237
59.67004,14.62219
59.89608,15.28905
65.41966,19.52583
57.46406,15.07054
58.83751,15.31942
59.96396,17.29073
58.05654,14.74554
57.53404,14.21741
65.57182,23.76063
61.89168,12.48985
65.87742,22.23328
65.05502,17.00166
60.90329,16.07862
60.09114,17.53168
64.42823,16.77879
65.77004,23.85103
57.3655,12.80857
61.70302,17.38395
58.83751,15.31942
60.52126,16.93278
65.85759,23.87922
63.95131,20.12904
61.43942,15.89893
57.69727,13.53833
60.77158,16.97237
63.79803,20.57729
59.25258,15.76054
63.37362,15.72359
63.92933,15.16519
65.27811,16.05373
57.53404,14.21741
60.68443,14.0063
62.87788,12.69947
64.11569,20.17022
58.48462,14.52635
67.47696,21.84016
59.69449,13.08041
65.75759,22.04652
62.80983,13.23367
65.01629,17.78532
60.93285,12.49167
62.80284,12.77544
58.60104,15.56785
57.57687,12.77621
56.72274,14.42884
59.9352,14.51448
56.88161,15.86428
56.83561,14.09468
58.03287,15.10071
58.23194,12.00635
64.72252,16.6956
65.57762,18.23914
63.86513,20.26134
65.42516,21.90674
57.54426,16.41445
58.34695,12.45834
63.92933,15.16519
59.33544,14.81006
64.65034,16.11291
57.78015,16.27027
58.70089,16.52589
60.63059,16.70748
58.29643,13.89417
58.96089,15.74466
59.7833,16.14446
65.15742,20.55129
59.87857,13.51664
58.70089,16.52589
56.88497,15.31408
58.04756,12.967
66.65692,23.78875
57.53404,14.21741
59.02471,11.78144
63.80626,21.00227
59.19927,17.01013
58.32079,12.49927
57.98938,12.50131
59.30727,15.09793
59.70424,15.90979
59.7657,16.29362
63.33228,15.58165
58.92581,16.35515
62.64776,14.16224
59.64182,15.65366
66.15629,21.56463
60.16082,17.70826
62.77901,13.70137
63.96429,15.8553
63.99287,19.39211
57.53507,16.06866
59.87542,15.92858
60.14206,17.70142
58.83751,15.31942
61.05832,16.83267
60.17646,17.72043
59.96049,17.27827
57.35671,13.88448
60.91109,16.37443
57.58115,13.98133
57.2872,15.20022
59.93179,13.40902
66.57507,20.52736
62.61092,17.68871
61.66796,17.43865
63.7093,20.3137
59.35972,14.92733
62.29322,15.28418
60.25753,14.85956
56.80467,13.52592
60.45704,15.27206
60.93144,12.52464
60.13716,17.70473
59.31728,14.76941
60.58401,14.84022
64.75476,16.66431
56.61447,14.2747
62.71378,12.70653
63.78377,20.38684
61.8435,16.07365
60.4276,18.4221
59.96753,17.14683
58.05222,12.70492
58.32079,12.49927
56.38078,13.50808
60.18555,14.94012
65.92076,21.26776
56.72649,13.2187
57.50367,13.58481
61.88637,14.87474
62.92481,17.1485
64.0429,20.64919
58.29846,13.51791
65.59423,18.07302
57.11066,13.75692
63.18826,19.01596
57.87727,12.80393
65.68741,21.4696
60.01974,17.06632
57.68237,15.04551
67.14521,22.94327
63.95976,17.99627
61.11177,14.71942
57.3575,14.21114
63.61729,19.47309
57.79466,15.03827
59.62449,14.53824
57.55435,14.51713
59.20517,17.01706
64.81991,20.06932
56.88426,14.09444
60.40075,18.10579
63.76353,14.0924
65.84753,22.2507
62.7336,17.32818
65.52658,18.92212
56.78799,14.87472
65.77921,23.42307
57.16651,16.14984
60.02039,17.09302
57.62324,15.13042
64.79079,14.33509
63.2306,18.77877
60.47189,17.91911
60.45704,15.27206
56.64042,15.56742
60.05689,15.74455
61.117,13.39323
56.87557,14.33298
63.77974,20.38016
59.7554,15.70216
61.10125,16.79416
56.89535,15.86841
59.81288,16.34217
57.50367,13.58481
59.34301,14.84957
65.63169,17.96448
59.128,14.56015
59.97466,16.0279
58.05155,14.09055
67.03516,20.92114
57.89354,14.94442
56.78788,13.64644
58.74899,16.23362
61.57001,13.30072
58.16676,12.66057
58.34798,13.88842
56.80128,14.04953
60.12823,17.67633
61.64342,15.4744
64.63027,18.98609
60.87756,12.57187
65.65206,22.2256
59.41252,12.79233
63.77505,19.81155
59.71099,15.5589
58.29395,13.88814
58.00947,13.36081
59.83387,16.24256
64.17271,18.43664
58.23199,12.00516
60.36394,18.15758
58.83751,15.31942
58.86976,14.59165
57.94954,16.49708
60.61357,17.32513
65.25308,15.66206
65.71295,21.76013
63.67867,20.85125
58.04756,12.967
56.47293,15.28697
63.71083,20.40973
62.48217,13.97756
58.03851,12.07976
59.96817,16.05576
60.16639,18.37293
63.03915,15.52743
57.77072,12.8536
58.63411,16.72153
63.76151,19.88663
60.94191,13.93412
65.23453,15.84456
65.74175,22.11283
65.13853,21.61858
58.90749,14.09066
57.81463,14.98038
63.87997,18.72202
62.55654,17.78151
60.27868,13.85529
58.05405,14.80398
62.74582,17.92218
62.52434,16.08273
62.53524,12.60867
60.14084,17.68605
61.87218,17.11345
57.83852,15.20347
59.76746,16.3131
67.45931,22.03724
62.40995,13.68638
56.90285,16.06656
58.42056,11.22914
60.51435,16.5057
59.60328,15.49149
61.53078,13.35704
57.91641,13.28759
57.99689,13.94314
60.33651,16.51285
61.73224,12.98738
66.5498,20.70097
57.82005,14.64581
60.14206,17.70142
65.77765,22.06302
59.81987,15.92813
58.29395,13.88814
62.80284,12.77544
63.74848,17.89607
63.86335,20.48329
59.17652,18.29983
62.52754,14.45048
58.03287,15.10071
59.74871,16.24897
65.79661,21.92035
60.13716,17.70473
60.09979,18.35661
56.83561,14.09468
60.53325,17.83357
60.3767,16.10595
64.74543,20.29696
57.71747,12.70017
66.47518,21.37787
62.67614,14.82047
60.29641,17.79772
65.59373,19.17882
60.24391,16.6118
62.67506,16.06075
57.04321,15.66426
62.33824,12.79944
56.66875,13.23507
62.20386,16.52361
58.38826,12.44218
67.14521,22.94327
58.83831,15.07069
60.08777,18.37085
65.56297,21.75722
63.66713,13.85281
57.78015,16.27027
62.26218,12.89603
63.90091,20.26907
62.53701,16.10111
59.08254,17.4484
59.70098,15.88135
57.53392,13.93277
60.73286,13.84199
64.43073,20.23617
62.04775,14.86637
57.51968,13.32185
66.30243,22.26438
63.25875,12.44774
57.71747,12.70017
58.68733,16.77619
61.82851,16.9731
57.98938,12.50131
61.06603,13.19845
56.40887,13.41178
59.47616,16.85293
59.17652,18.29983
59.89122,14.6852
61.18733,13.01686
58.29643,13.89417
56.83561,14.09468
58.06651,14.07148
61.5648,14.81429
59.56544,18.14332
58.48462,14.52635
65.73396,21.52155
62.39062,17.74038
59.31849,14.83409
63.56059,12.34894
59.31576,14.76138
60.1504,18.37349
59.92493,17.36084
58.03851,12.07976
59.49793,14.04263
61.00597,12.55534
60.66042,13.24462
57.71747,12.70017
61.11727,16.98676
65.66746,21.45768
65.7646,21.84483
60.09114,17.53168
59.42759,14.16502
58.96219,15.79179
57.72813,12.74357
56.73367,14.42407
57.83539,15.47293
60.63766,17.2945
57.33874,13.61693
65.10831,20.87909
57.74213,14.03011
63.8926,17.22891
63.66889,20.29533
60.96185,12.47124
59.79507,15.06381
57.8443,14.95218
61.65448,16.88558
61.70312,17.32196
63.13704,14.50033
57.53404,14.21741
59.35115,14.85768
66.515,20.23034
60.19769,14.91315
57.71109,15.16183
60.12823,17.67633
63.39593,17.47261
58.69228,16.55086
57.32267,13.97391
57.9134,12.71307
65.63056,22.08011
57.25757,15.57486
58.46665,12.04192
58.95772,15.74209
65.20092,19.09344
60.05105,15.56767
66.05826,21.3172
56.85433,13.74767
66.66245,19.82951
62.60673,17.73494
60.30698,17.14611
59.35115,14.85768
58.8115,13.79442
60.22054,15.77928
62.18894,17.43844
56.72038,13.25126
65.58067,21.76623
60.1539,17.70841
59.96379,18.53215
59.76222,14.60832
64.63186,16.87766
56.95834,13.92194
60.14256,15.91186
57.45245,15.74907
59.20247,17.01642
63.36321,13.92483
58.67834,16.76526
64.68491,16.28926
57.85106,14.65566
59.84327,16.24148
57.55546,12.88256
57.9246,13.3351
60.57627,17.94899
64.39512,18.5627
57.19805,16.21383
61.68345,12.79504
56.88563,16.2129
58.72859,16.06986
64.70058,15.75819
63.63867,13.50451
58.44421,14.46502
64.18677,20.3492
59.34919,14.86002
57.56886,15.25282
66.30458,23.55637
58.14476,14.94144
57.52418,15.82764
57.82452,13.83642
62.53509,14.44296
57.25927,15.587
63.80626,21.00227
64.08818,19.47269
59.45257,12.54088
60.15356,17.68768
62.80132,13.05687
59.62786,14.77442
62.0243,15.77385
59.84989,16.18303
58.71485,16.312
61.75689,15.38138
57.64664,14.22963
59.98034,16.04555
65.92353,21.5579
57.63039,13.29516
57.65488,14.2492
57.84965,12.93276
62.99298,15.54854
60.49714,17.80492
57.20218,16.10282
64.77614,20.91531
59.97466,16.0279
59.96657,18.65618
65.10412,17.46152
57.52545,14.22618
57.53404,14.21741
59.28108,14.69207
60.87725,14.93529
60.36857,16.11464
59.89122,14.6852
65.60927,18.11079
56.71243,12.95398
57.63174,16.22411
62.68261,12.44406
63.24079,13.16871
59.9357,17.31519
57.75693,14.00776
60.55482,15.89315
59.76783,14.87952
60.50826,12.84678
66.24486,23.21522
62.24792,16.0708
64.0343,20.63744
58.77457,12.27728
57.9134,12.71307
63.02492,14.30539
56.92774,15.09444
58.00947,13.36081
56.72532,13.21906
59.80002,16.01506
60.16849,17.72979
57.67295,14.76817
57.53404,14.21741
59.81065,16.27664
64.25527,16.44723
58.23194,12.00635
61.02387,12.41095
56.72497,15.06478
59.75639,16.03981
59.17652,18.29983
66.66292,19.90127
63.25687,18.93756
61.11727,15.09136
61.59234,15.66194
58.46968,13.66245
60.13716,17.70473
59.63448,15.3464
56.63834,13.27971
60.08888,15.83305
64.82518,17.72371
57.97683,12.52682
60.91109,16.37443
57.84965,12.93276
62.8263,13.09717
65.58816,17.50676
60.36857,16.11464
64.00564,17.60776
56.76309,13.20963
60.39163,18.11422
60.08095,15.09039
64.02223,20.24452
56.72532,13.21906
62.69171,16.99682
58.83751,15.31942
66.35011,22.07837
57.50367,13.58481
60.13716,17.70473
62.04009,16.50981
60.15356,17.68768
64.39175,21.32373
56.94781,14.31677
56.72568,15.07963
67.61864,23.06645
64.37044,15.35047
59.914,17.35318
65.38201,19.66241
63.67063,20.39229
63.64203,19.10668
56.72532,13.21906
59.33544,14.81006
60.13716,17.70473
57.48548,14.05548
61.26343,17.09477
62.50052,13.93901
58.04072,13.42182
59.41353,14.14651
63.80591,20.1541
61.95948,14.5734
61.62093,17.48463
60.35369,15.26888
61.74138,12.76131
65.79443,21.81109
59.94047,17.3528
65.70227,17.76921
63.80626,21.00227
65.6741,18.14332
60.60095,17.93645
57.173,15.40169
67.51164,21.61644
65.9148,22.65364
64.09329,20.04367
62.67189,16.2778
57.82399,14.0089
66.26015,23.03023
62.60434,12.61858
62.722,12.75501
57.54319,13.61423
61.51479,15.15882
59.66936,15.37218
60.3705,16.14692
59.84239,16.19565
57.55361,12.78517
59.45045,14.18382
60.30841,16.94268
56.83561,14.09468
60.79191,17.298
57.54581,13.32509
59.41353,14.14651
57.87395,12.94327
60.13011,15.80641
63.41873,14.36005
65.4446,21.90266
66.00506,21.65801
65.78645,22.26212
56.93165,15.26649
61.69909,15.44253
58.43315,11.26734
65.79919,22.35807
63.59841,15.05285
57.30181,14.01013
57.55494,15.11367
59.4431,13.66782
60.8049,17.2498
57.96834,12.47331
59.33544,14.81006
60.94371,13.96058
57.25466,13.8917
58.06414,15.11625
57.06941,14.72589
56.45285,13.62775
61.80211,16.9886
57.93033,13.794
63.31778,17.01103
57.69922,13.71072
65.1222,17.0748
56.41848,13.49604
65.3611,20.43426
66.43927,20.47599
64.01565,19.35444
62.57235,12.57101
65.99882,22.69327
63.35061,18.91493
64.77486,16.60215
60.37896,18.0575
60.89636,14.63575
59.88994,16.09971
64.59273,17.51664
65.27796,19.71289
60.15356,17.68768
58.70985,14.64714
63.2827,14.56168
60.18912,14.9375
58.69268,14.10292
56.72274,14.42884
60.01446,14.73277
59.90556,16.10588
59.88004,18.17538
65.39407,20.39665
60.00246,13.5372
62.77722,14.01121
58.61119,15.5936
59.0966,12.52888
56.72402,14.42675
66.65004,20.12328
59.04407,11.78372
63.0152,15.88512
65.56981,23.75708
60.62691,14.68893
63.51009,12.68657
62.27021,15.73894
65.18546,19.69595
57.43804,12.84796
56.88596,13.90351
64.56948,15.08394
57.78015,16.27027
65.35466,19.62505
63.81146,19.99268
59.73993,16.30533
63.68632,17.24195
57.67571,15.59222
65.51749,21.82271
59.69407,16.49449
61.954,21.655983
63.240147,14.634157
48.838364,19.752775
64.4528,28.34336
47.130165,9.592959
50.436188,9.880083
52.934155,10.279942
47.309326,11.520367
47.495628,11.157515
50.436188,9.880083
50.436188,9.880083
47.495628,11.157515
50.436188,9.880083
50.436188,9.880083
66.655533,20.059412
50.436188,9.880083
64.19207,16.667675
63.7222,13.92373
62.39902,15.4373
58.29643,13.89417
60.74276,16.29645
63.69247,20.21681
64.14509,17.95553
56.83561,14.09468
59.87453,16.34435
62.55068,13.44315
56.55059,13.73384
64.72252,16.6956
65.99725,21.17403
56.68492,15.00732
57.94091,13.76215
60.12677,17.72195
60.85426,12.96768
60.63702,15.48952
60.45811,17.96013
56.89535,15.86841
59.09339,12.52605
58.61119,15.5936
59.98918,16.05566
64.01017,19.35421
57.78008,16.31365
57.53404,14.21741
60.9575,13.91751
58.98877,15.30255
58.31592,12.32468
63.73686,19.87373
58.83751,15.31942
65.97364,21.90167
58.29375,12.34038
66.59271,20.22428
59.35115,14.85768
59.24087,14.36665
63.71601,20.40235
57.14427,15.26142
64.90148,20.95346
58.69273,16.48402
59.59742,15.57672
57.09869,15.28116
58.43125,13.79413
59.47564,13.95071
60.17534,17.7203
59.76222,14.60832
57.53404,14.21741
57.53404,14.21741
63.91123,20.14174
58.29395,13.88814
57.80866,14.04145
59.6355,15.47543
56.41183,13.48056
60.12321,18.36021
60.48961,16.00521
59.11148,14.61741
64.25879,19.59534
58.00947,13.36081
65.96926,16.00835
59.62838,16.18193
59.88325,16.13996
58.00947,13.36081
58.06041,14.8259
60.0538,16.48496
59.81687,16.02596
59.19489,16.7406
57.97683,12.52682
