No Decimal Found,
57.53404,14.21741
56.85433,13.74767
59.83599,16.25912
60.59292,14.36094
64.25183,20.32926
56.95087,14.08474
63.94357,19.47826
57.6987,13.67872
64.44256,20.39016
61.11721,16.98748
65.43997,16.53815
64.2528,15.31328
65.52132,21.68636
66.85025,23.0524
62.84919,16.9519
57.82399,14.0089
57.14427,15.26142
62.5442,17.77894
62.89924,17.47732
57.23792,15.21913
60.91109,16.37443
59.60269,15.78776
59.08254,17.4484
61.39624,14.81484
65.71511,21.50322
59.92997,15.78135
64.34102,19.4912
57.03918,14.71854
56.58029,14.6826
57.11389,15.23381
59.74089,16.2776
57.84965,12.93276
64.96115,21.3627
57.41258,15.73766
64.68311,19.34626
59.10681,12.29565
65.18818,15.78257
58.00905,13.37931
64.12465,20.04643
59.56401,14.14455
61.12104,17.09702
59.97629,14.69694
58.84114,15.32033
64.03233,20.48099
67.4163,21.9047
65.8411,23.96182
56.75755,14.7947
65.01321,20.08084
59.44241,14.15866
60.59028,15.94428
57.84965,12.93276
63.74796,12.96487
60.15608,17.7006
57.98938,12.50131
60.22399,15.77939
67.09918,20.56423
56.72532,13.21906
57.24308,15.55732
56.72532,13.21906
59.12755,14.51944
63.37001,17.30214
66.30436,22.25774
63.2117,13.04151
56.78323,14.06969
65.27888,19.06402
57.41146,13.98186
57.44429,13.45972
56.74543,15.28066
59.70873,15.59818
58.38025,12.45172
60.16912,15.15085
57.78008,16.31365
56.54939,13.61835
64.6919,16.71771
63.78092,19.84277
62.52271,15.33719
61.65102,13.04055
60.15589,17.69912
57.78008,16.31365
62.14273,17.4534
59.35115,14.85768
66.42963,20.61583
59.97466,16.0279
58.03902,14.6819
64.29644,16.26076
60.19947,16.69762
60.8502,14.48023
65.66628,17.75481
62.59344,13.3566
60.91389,12.40888
61.5724,17.05569
66.33425,21.81833
65.57182,23.76063
60.58983,17.54509
59.69041,15.7085
57.21513,14.78735
56.38078,13.50808
56.83561,14.09468
64.63375,18.00454
60.22026,17.55556
62.93952,13.24321
58.29395,13.88814
59.98557,16.06975
61.26833,17.09675
57.78911,16.32148
61.62276,17.44082
57.78911,16.32148
57.53408,13.58653
57.76477,12.8407
57.57219,13.20373
58.02693,13.50794
65.66443,17.39674
59.5826,13.39489
65.5632,20.66636
58.02179,12.35662
65.15837,20.33925
63.23203,13.67981
58.70089,16.52589
58.91392,15.37163
60.94371,13.96058
60.16608,17.66638
62.60533,12.17364
63.7728,20.10244
66.07428,21.25071
65.68754,18.06534
56.97758,15.99204
60.29348,17.82558
60.17353,13.49557
57.30181,14.01013
66.02183,21.02919
62.19577,17.44768
57.80866,14.04145
64.0374,20.67899
64.84073,20.49135
60.88021,16.47348
60.51319,17.80609
56.35603,13.27336
60.13716,17.70473
65.56579,22.3728
62.25645,16.60242
59.87723,18.34988
60.62372,16.30688
62.22998,17.60156
57.41043,18.72109
62.08234,14.66832
60.9575,13.91751
59.86861,12.14608
65.78709,21.85976
63.92259,18.61998
59.96102,16.06438
60.30339,17.28739
60.57075,15.92346
64.78219,16.76694
46.34327,7.011863
60.21392,23.01197
46.14277,6.795511
62.581053,24.174883
66.713973,24.389652
61.874339,24.810737
66.624394,24.399094
66.644918,27.56102
62.043342,24.224934
60.695029,24.158786
64.832454,24.573386
62.315953,24.392782
62.960754,28.474824
62.246614,25.938469
63.045761,28.874526
65.821543,24.699335
66.728665,25.522249
61.532527,26.714842
60.255547,23.609575
65.112791,25.399672
61.688613,29.547669
65.834128,28.199809
61.501685,24.085438
62.322649,24.778174
61.318332,23.915667
61.515663,24.836015
65.645423,24.932294
60.76207,23.234815
60.751286,22.868854
62.243138,25.553778
60.751286,22.868854
62.3257,29.022483
62.155303,25.749825
62.910651,22.961449
61.688613,29.547669
61.521104,25.211565
62.953244,24.927564
63.29387,30.087414
66.000878,29.309239
60.756803,23.051799
62.319435,24.585453
63.100612,30.661564
63.849864,29.131216
63.145098,27.889111
60.040461,23.137743
63.122714,29.672565
60.899287,25.799303
63.045761,28.874526
67.45254,26.645569
65.821543,24.699335
60.16085,24.385242
60.814866,26.905005
62.866327,25.13021
62.322649,24.778174
65.112791,25.399672
62.871066,28.470322
62.707162,22.206378
62.863584,24.933889
64.754239,28.571867
62.826623,23.169446
65.821543,24.699335
65.112791,25.399672
60.723604,26.355587
60.16085,24.385242
63.583646,25.083276
66.461671,25.762407
65.894037,25.07684
62.789743,21.996576
66.644918,27.56102
61.425991,24.842231
66.624394,24.399094
63.100612,30.661564
65.821543,24.699335
63.100612,30.661564
63.235873,26.30026
60.713815,25.256622
61.344032,25.408562
60.985286,28.567181
62.235926,24.976968
67.449537,28.047094
62.045518,21.353247
62.243138,25.553778
62.866327,25.13021
60.63286,26.17468
60.040461,23.137743
62.507301,21.655021
60.618865,24.896377
60.822688,22.307391
62.815414,22.778125
64.933478,25.410379
61.425991,24.842231
65.821543,24.699335
60.609132,24.349032
63.212194,24.312374
62.235926,24.976968
60.713815,25.256622
62.751985,30.226462
60.124634,22.947765
60.899287,25.799303
60.265271,25.280542
61.512556,24.6483
61.293958,22.984374
63.056492,27.688672
60.725125,27.088506
60.724879,27.271741
62.826623,23.169446
60.695029,24.158786
65.834128,28.199809
60.630108,25.809328
62.910651,22.961449
60.899287,25.799303
60.713815,25.256622
60.76207,23.234815
62.601919,25.536352
61.425991,24.842231
66.018149,27.106409
60.343623,24.551802
61.505566,24.273008
63.821743,23.441343
63.237562,27.096079
62.22632,24.400524
61.578065,23.513038
63.212194,24.312374
62.235926,24.976968
63.680191,28.309998
65.834128,28.199809
61.143189,24.118569
62.707162,22.206378
60.635378,27.088261
60.723604,26.355587
62.160641,26.708943
63.906116,23.226707
63.179125,22.924051
60.16085,24.385242
61.532527,26.714842
62.956092,28.868784
